free_parameter,value,abeta_AD_over_control,verdict
d_mRNA,0.03465735902799726,1.4125598422979422,AD_above_control
d_mRNA,0.046216331046013415,1.412559842297943,AD_above_control
d_mRNA,0.06163046796581411,1.4125598422979433,AD_above_control
d_mRNA,0.08218554990666829,1.412559842297942,AD_above_control
d_mRNA,0.10959619221467064,1.412559842297943,AD_above_control
d_mRNA,0.14614887120175454,1.4125598422979426,AD_above_control
d_mRNA,0.1948926520340169,1.4125598422979424,AD_above_control
d_mRNA,0.2598935284585106,1.412559842296151,AD_above_control
d_mRNA,0.34657359027997264,1.4125598428326753,AD_above_control
k_repress,0.1,1.412559842297941,AD_above_control
k_repress,0.15298193747370034,1.412559842298267,AD_above_control
k_repress,0.2340347319320716,1.4125598422802839,AD_above_control
k_repress,0.3580308672710639,1.412559842297949,AD_above_control
k_repress,0.5477225575051661,1.4125598422979422,AD_above_control
k_repress,0.8379165804519055,1.4125598422979433,AD_above_control
k_repress,1.2818610191887019,1.412559842297944,AD_above_control
k_repress,1.9610158228749979,1.4125598422979442,AD_above_control
k_repress,3.0,1.4125598423200285,AD_above_control
k_translate,0.2,1.4125598472810137,AD_above_control
k_translate,0.29906975624424414,1.4125598422979444,AD_above_control
k_translate,0.447213595499958,1.4125598422979442,AD_above_control
k_translate,0.668740304976422,1.4125598422979437,AD_above_control
k_translate,1.0,1.4125598422979424,AD_above_control
k_translate,1.4953487812212205,1.4125598422979422,AD_above_control
k_translate,2.2360679774997894,1.4125598422966221,AD_above_control
k_translate,3.3437015248821096,1.4125598422975274,AD_above_control
k_translate,5.0,nan,not_evaluable
