mirna,family,n_articles_mentioning,n_articles_mentioning_family
miR-30a-3p,miR-30a,1,3
miR-5010,miR-5010,1,1
miR-330-5p,miR-330,1,1
miR-154-5p,miR-154,1,1
miR-136-3p,miR-136,1,1
miR-323a-3p,miR-323a,1,1
miR-495-3p,miR-495,1,1
let-7c-5p,let-7c,1,1
miR-361-5p,miR-361,1,2
miR-25-3p,miR-25,1,3
miR-16,miR-16,1,3
miR-30c-1-5p,miR-30c-1,1,1
miR-615-3p,miR-615,1,1
miR-485-5p,miR-485,1,3
let-7e,let-7e,1,1
miR-590-5p,miR-590,1,1
miR-122-5p,miR-122,1,1
miR-7,miR-7,1,3
miR-140,miR-140,1,1
miR-21-3p,miR-21,1,4
miR-328-3p,miR-328,1,1
miR-185,miR-185,1,3
miR-130b-3p,miR-130b,1,3
miR-10b,miR-10b,1,2
let-7g-3p,let-7g,1,3
miR-296,miR-296,1,1
miR-4668-5p,miR-4668,1,1
miR-6119-5p,miR-6119,1,1
miR-126-5p,miR-126,1,2
miR-660-5p,miR-660,1,1
miR-1246,miR-1246,1,1
miR-501-3p,miR-501,1,1
let-7f-5p,let-7f,1,2
miR-124,miR-124,1,2
miR-184,miR-184,1,1
miR-455-3p,miR-455,1,2
miR-6722,miR-6722,1,1
miR-4674,miR-4674,1,1
miR-205,miR-205,1,1
miR-125a,miR-125a,1,4
let-7d-5p,let-7d,1,2
miR-27b-3p,miR-27b,1,1
miR-324-5p,miR-324,1,1
miR-141,miR-141,1,1
miR-4722-5p,miR-4722,1,1
miR-22-5p,miR-22,1,8
miR-199a-3p,miR-199a,1,3
miR-4454,miR-4454,1,1
miR-31,miR-31,1,1
miR-199a-5p,miR-199a,1,3
miR-378i,miR-378i,1,1
miR-193a-5p,miR-193a,1,2
miR-514a-2,miR-514a-2,1,1
miR-301b,miR-301b,1,1
miR-411,miR-411,1,1
miR-671,miR-671,1,1
miR-1193,miR-1193,1,1
miR-23b-3p,miR-23b,1,1
miR-502-5p,miR-502,1,1
miR-483-5p,miR-483,1,1
miR-626,miR-626,1,1
miR-662,miR-662,1,1
miR-3182,miR-3182,1,1
miR-4295,miR-4295,1,1
miR-125b-1-3p,miR-125b-1,1,1
miR-7-1-5p,miR-7-1,1,1
miR-223-3p,miR-223,1,5
miR-206-3p,miR-206,1,3
miR-92b,miR-92b,1,1
miR-133a,miR-133a,1,1
miR-326,miR-326,1,1
miR-148a,miR-148a,1,1
miR-143-3p,miR-143,1,1
miR-181b,miR-181b,1,1
miR-191-5p,miR-191,1,3
miR-7d-5,miR-7d-5,1,1
miR-425,miR-425,1,4
miR-4433b-3p,miR-4433b,1,1
miR-2110,miR-2110,1,1
miR-766-3p,miR-766,1,1
miR-18a-3p,miR-18a,1,1
